time,track_id,label,similarity,x1,y1,x2,y2,area_ratio
Wed Dec  3 11:33:27 2025,1,HUMAN,0.000,275,228,536,479,0.21325
Wed Dec  3 11:33:27 2025,2,HUMAN,0.000,546,66,639,478,0.12473
Wed Dec  3 11:33:29 2025,1,HUMAN,0.000,282,233,536,479,0.20340
Wed Dec  3 11:33:29 2025,2,HUMAN,0.000,545,64,639,478,0.12668
Wed Dec  3 11:33:30 2025,1,HUMAN,0.000,267,232,539,479,0.21870
Wed Dec  3 11:33:31 2025,2,HUMAN,0.000,536,70,639,479,0.13713
Wed Dec  3 11:33:31 2025,1,HUMAN,0.000,264,233,540,479,0.22102
Wed Dec  3 11:33:32 2025,1,HUMAN,0.000,267,232,540,479,0.21950
Wed Dec  3 11:33:33 2025,1,HUMAN,0.000,270,234,539,479,0.21453
Wed Dec  3 11:33:34 2025,1,HUMAN,0.000,272,235,531,479,0.20572
Wed Dec  3 11:33:34 2025,1,HUMAN,0.000,267,235,530,479,0.20889
Wed Dec  3 11:33:35 2025,1,HUMAN,0.000,265,234,538,479,0.21772
Wed Dec  3 11:33:36 2025,1,HUMAN,0.000,270,234,540,479,0.21533
Wed Dec  3 11:33:37 2025,1,HUMAN,0.000,265,236,533,479,0.21199
Wed Dec  3 11:33:37 2025,1,HUMAN,0.000,263,235,532,479,0.21366
Wed Dec  3 11:33:38 2025,1,HUMAN,0.000,261,232,534,479,0.21950
Wed Dec  3 11:33:39 2025,1,HUMAN,0.000,259,230,538,479,0.22614
Wed Dec  3 11:33:40 2025,1,HUMAN,0.000,259,229,540,479,0.22868
Wed Dec  3 11:33:40 2025,1,HUMAN,0.000,259,227,541,479,0.23133
Wed Dec  3 11:33:41 2025,1,HUMAN,0.000,258,228,541,479,0.23123
Wed Dec  3 11:33:42 2025,3,HUMAN,0.000,582,5,639,477,0.08758
Wed Dec  3 11:33:42 2025,1,HUMAN,0.000,261,229,543,479,0.22949
Wed Dec  3 11:33:43 2025,3,HUMAN,0.000,564,1,639,479,0.11670
Wed Dec  3 11:33:44 2025,1,HUMAN,0.000,259,225,546,479,0.23730
Wed Dec  3 11:33:44 2025,3,HUMAN,0.000,582,6,639,477,0.08739
Wed Dec  3 11:33:45 2025,1,HUMAN,0.000,254,195,573,479,0.29491
Wed Dec  3 11:33:45 2025,4,HUMAN,0.000,585,186,639,477,0.05115
Wed Dec  3 11:33:46 2025,1,HUMAN,0.000,231,191,550,479,0.29906
Wed Dec  3 11:33:46 2025,4,HUMAN,0.000,586,186,639,476,0.05003
Wed Dec  3 11:33:47 2025,1,HUMAN,0.000,226,195,539,479,0.28936
Wed Dec  3 11:33:47 2025,3,HUMAN,0.000,585,3,639,479,0.08367
Wed Dec  3 11:33:48 2025,1,HUMAN,0.000,267,187,589,479,0.30607
Wed Dec  3 11:33:49 2025,1,HUMAN,0.000,324,190,639,479,0.29634
Wed Dec  3 11:33:50 2025,1,HUMAN,0.000,323,200,633,479,0.28154
Wed Dec  3 11:33:51 2025,1,HUMAN,0.000,293,222,579,479,0.23926
Wed Dec  3 11:33:51 2025,1,HUMAN,0.000,299,227,588,479,0.23707
Wed Dec  3 11:33:52 2025,1,HUMAN,0.000,300,231,582,479,0.22766
Wed Dec  3 11:33:53 2025,1,HUMAN,0.000,307,235,591,479,0.22557
Wed Dec  3 11:33:54 2025,1,HUMAN,0.000,305,233,592,479,0.22982
Wed Dec  3 11:33:55 2025,1,HUMAN,0.000,309,236,592,479,0.22386
Wed Dec  3 11:33:55 2025,3,HUMAN,0.000,604,193,639,379,0.02119
Wed Dec  3 11:33:55 2025,1,HUMAN,0.000,316,236,589,479,0.21595
Wed Dec  3 11:33:56 2025,1,HUMAN,0.000,317,235,591,479,0.21763
Wed Dec  3 11:33:57 2025,1,HUMAN,0.000,314,235,588,479,0.21763
Wed Dec  3 11:33:57 2025,3,HUMAN,0.000,602,197,639,389,0.02312
Wed Dec  3 11:33:58 2025,1,HUMAN,0.000,313,233,587,479,0.21941
Wed Dec  3 11:33:58 2025,3,HUMAN,0.000,603,197,639,388,0.02238
Wed Dec  3 11:33:58 2025,1,HUMAN,0.000,311,234,584,479,0.21772
Wed Dec  3 11:33:59 2025,1,HUMAN,0.000,309,234,582,479,0.21772
Wed Dec  3 11:33:59 2025,3,HUMAN,0.000,605,199,639,380,0.02003
Wed Dec  3 11:34:00 2025,1,HUMAN,0.000,300,233,578,479,0.22262
Wed Dec  3 11:34:00 2025,3,HUMAN,0.000,604,198,639,384,0.02119
Wed Dec  3 11:34:01 2025,1,HUMAN,0.000,295,233,577,479,0.22582
Wed Dec  3 11:34:02 2025,1,HUMAN,0.000,297,235,580,479,0.22478
Wed Dec  3 11:34:02 2025,1,HUMAN,0.000,301,236,585,479,0.22465
Wed Dec  3 11:34:03 2025,1,HUMAN,0.000,304,235,589,479,0.22637
Wed Dec  3 11:34:04 2025,1,HUMAN,0.000,303,233,592,479,0.23143
Wed Dec  3 11:34:05 2025,1,HUMAN,0.000,303,230,593,479,0.23506
Wed Dec  3 11:34:06 2025,1,HUMAN,0.000,300,231,590,479,0.23411
Wed Dec  3 11:34:07 2025,1,HUMAN,0.000,291,231,588,479,0.23977
Wed Dec  3 11:34:07 2025,3,HUMAN,0.000,584,26,639,476,0.08057
Wed Dec  3 11:34:08 2025,1,HUMAN,0.000,289,233,598,479,0.24744
Wed Dec  3 11:34:08 2025,3,HUMAN,0.000,558,46,639,479,0.11417
Wed Dec  3 11:34:09 2025,1,HUMAN,0.000,289,243,575,479,0.21971
Wed Dec  3 11:34:09 2025,3,HUMAN,0.000,606,80,639,469,0.04179
Wed Dec  3 11:34:10 2025,1,HUMAN,0.000,300,245,578,479,0.21176
Wed Dec  3 11:34:11 2025,1,HUMAN,0.000,304,242,592,479,0.22219
Wed Dec  3 11:34:12 2025,1,HUMAN,0.000,303,243,596,479,0.22509
Wed Dec  3 11:34:12 2025,3,HUMAN,0.066,536,0,639,478,0.16027
Wed Dec  3 11:34:13 2025,1,HUMAN,0.000,300,241,592,479,0.22622
Wed Dec  3 11:34:14 2025,3,HUMAN,0.000,548,0,639,477,0.14130
Wed Dec  3 11:34:15 2025,1,HUMAN,0.000,299,238,591,479,0.22908
Wed Dec  3 11:34:16 2025,1,HUMAN,0.000,303,241,593,479,0.22467
Wed Dec  3 11:34:16 2025,3,HUMAN,0.000,588,11,639,472,0.07653
Wed Dec  3 11:34:17 2025,1,HUMAN,0.000,303,246,591,479,0.21844
Wed Dec  3 11:34:17 2025,3,HUMAN,0.000,598,9,639,464,0.06073
Wed Dec  3 11:34:18 2025,1,HUMAN,0.000,300,247,587,479,0.21674
Wed Dec  3 11:34:18 2025,3,HUMAN,0.000,600,13,639,469,0.05789
Wed Dec  3 11:34:19 2025,1,HUMAN,0.000,303,246,596,479,0.22223
Wed Dec  3 11:34:19 2025,3,HUMAN,0.000,570,25,639,477,0.10152
Wed Dec  3 11:34:20 2025,1,HUMAN,0.000,301,245,598,479,0.22623
